algorithm,distribution,score,time_seconds,seed
CPFA,Clustered,71.000000, 720.000000, 23
CPFA,Clustered,112.000000, 720.000000, 24
CPFA,Clustered,74.000000, 720.000000, 25
CPFA,Clustered,35.000000, 720.000000, 26
CPFA,Clustered,95.000000, 720.000000, 27
CPFA,Clustered,53.000000, 720.000000, 28
CPFA,Clustered,70.000000, 720.000000, 29
CPFA,Clustered,57.000000, 720.000000, 30
CPFA,Clustered,41.000000, 720.000000, 31
CPFA,Clustered,78.000000, 720.000000, 32
CPFA,Clustered,67.000000, 720.000000, 33
CPFA,Clustered,73.000000, 720.000000, 34
CPFA,Clustered,45.000000, 720.000000, 35
CPFA,Clustered,67.000000, 720.000000, 36
CPFA,Clustered,73.000000, 720.000000, 37
CPFA,Clustered,72.000000, 720.000000, 38
CPFA,Clustered,71.000000, 720.000000, 39
CPFA,Clustered,96.000000, 720.000000, 40
CPFA,Clustered,60.000000, 720.000000, 41
CPFA,Clustered,61.000000, 720.000000, 42
CPFA,Clustered,64.000000, 720.000000, 43
CPFA,Clustered,64.000000, 720.000000, 44
CPFA,Clustered,42.000000, 720.000000, 45
CPFA,Clustered,90.000000, 720.000000, 46
CPFA,Clustered,86.000000, 720.000000, 47
CPFA,Clustered,75.000000, 720.000000, 48
CPFA,Clustered,83.000000, 720.000000, 49
CPFA,Clustered,75.000000, 720.000000, 50
AHCFA,Clustered,93.000000, 720.000000, 1
AHCFA,Clustered,67.000000, 720.000000, 2
AHCFA,Clustered,86.000000, 720.000000, 3
AHCFA,Clustered,78.000000, 720.000000, 4
AHCFA,Clustered,91.000000, 720.000000, 5
AHCFA,Clustered,68.000000, 720.000000, 6
AHCFA,Clustered,91.000000, 720.000000, 7
AHCFA,Clustered,65.000000, 720.000000, 8
AHCFA,Clustered,74.000000, 720.000000, 9
AHCFA,Clustered,79.000000, 720.000000, 10
AHCFA,Clustered,77.000000, 720.000000, 11
AHCFA,Clustered,67.000000, 720.000000, 12
AHCFA,Clustered,99.000000, 720.000000, 13
AHCFA,Clustered,72.000000, 720.000000, 14
AHCFA,Clustered,45.000000, 720.000000, 15
AHCFA,Clustered,90.000000, 720.000000, 16
AHCFA,Clustered,45.000000, 720.000000, 17
AHCFA,Clustered,79.000000, 720.000000, 18
AHCFA,Clustered,82.000000, 720.000000, 19
AHCFA,Clustered,89.000000, 720.000000, 20
AHCFA,Clustered,92.000000, 720.000000, 21
AHCFA,Clustered,80.000000, 720.000000, 22
AHCFA,Clustered,76.000000, 720.000000, 23
AHCFA,Clustered,109.000000, 720.000000, 24
AHCFA,Clustered,69.000000, 720.000000, 25
AHCFA,Clustered,39.000000, 720.000000, 26
AHCFA,Clustered,104.000000, 720.000000, 27
AHCFA,Clustered,64.000000, 720.000000, 28
AHCFA,Clustered,61.000000, 720.000000, 29
AHCFA,Clustered,81.000000, 720.000000, 30
AHCFA,Clustered,79.000000, 720.000000, 31
AHCFA,Clustered,61.000000, 720.000000, 32
AHCFA,Clustered,50.000000, 720.000000, 33
AHCFA,Clustered,77.000000, 720.000000, 34
