distribution,algorithm,seed,minute,cumulative_score,minute_score
Random,CPFA,27,6,28,4
Random,CPFA,27,7,31,3
Random,CPFA,27,8,34,3
Random,CPFA,27,9,37,3
Random,CPFA,27,10,40,3
Random,CPFA,27,11,45,5
Random,CPFA,27,12,50,5
Random,CPFA,28,1,9,9
Random,CPFA,28,2,13,4
Random,CPFA,28,3,20,7
Random,CPFA,28,4,24,4
Random,CPFA,28,5,27,3
Random,CPFA,28,6,34,7
Random,CPFA,28,7,42,8
Random,CPFA,28,8,49,7
Random,CPFA,28,9,54,5
Random,CPFA,28,10,60,6
Random,CPFA,28,11,68,8
Random,CPFA,28,12,74,6
Random,CPFA,29,1,8,8
Random,CPFA,29,2,14,6
Random,CPFA,29,3,23,9
Random,CPFA,29,4,31,8
Random,CPFA,29,5,34,3
Random,CPFA,29,6,40,6
Random,CPFA,29,7,49,9
Random,CPFA,29,8,52,3
Random,CPFA,29,9,58,6
Random,CPFA,29,10,62,4
Random,CPFA,29,11,68,6
Random,CPFA,29,12,75,7
Random,CPFA,30,1,8,8
Random,CPFA,30,2,17,9
Random,CPFA,30,3,21,4
Random,CPFA,30,4,27,6
Random,CPFA,30,5,33,6
Random,CPFA,30,6,41,8
Random,CPFA,30,7,47,6
Random,CPFA,30,8,48,1
Random,CPFA,30,9,51,3
Random,CPFA,30,10,59,8
Random,CPFA,30,11,61,2
Random,CPFA,30,12,68,7
Random,CPFA,31,1,7,7
Random,CPFA,31,2,12,5
Random,CPFA,31,3,18,6
Random,CPFA,31,4,20,2
Random,CPFA,31,5,24,4
Random,CPFA,31,6,27,3
Random,CPFA,31,7,31,4
Random,CPFA,31,8,35,4
Random,CPFA,31,9,39,4
Random,CPFA,31,10,44,5
Random,CPFA,31,11,49,5
Random,CPFA,31,12,53,4
Random,CPFA,32,1,9,9
Random,CPFA,32,2,16,7
Random,CPFA,32,3,20,4
Random,CPFA,32,4,24,4
Random,CPFA,32,5,28,4
Random,CPFA,32,6,34,6
Random,CPFA,32,7,38,4
Random,CPFA,32,8,43,5
Random,CPFA,32,9,48,5
Random,CPFA,32,10,53,5
Random,CPFA,32,11,56,3
Random,CPFA,32,12,62,6
Random,CPFA,33,1,5,5
Random,CPFA,33,2,10,5
Random,CPFA,33,3,14,4
Random,CPFA,33,4,22,8
Random,CPFA,33,5,29,7
Random,CPFA,33,6,34,5
Random,CPFA,33,7,39,5
Random,CPFA,33,8,43,4
Random,CPFA,33,9,49,6
Random,CPFA,33,10,55,6
Random,CPFA,33,11,63,8
Random,CPFA,33,12,71,8
Random,CPFA,34,1,8,8
Random,CPFA,34,2,16,8
Random,CPFA,34,3,22,6
Random,CPFA,34,4,24,2
Random,CPFA,34,5,31,7
Random,CPFA,34,6,34,3
Random,CPFA,34,7,37,3
Random,CPFA,34,8,41,4
Random,CPFA,34,9,44,3
Random,CPFA,34,10,50,6
Random,CPFA,34,11,54,4
Random,CPFA,34,12,60,6
Random,CPFA,35,1,6,6
Random,CPFA,35,2,10,4
Random,CPFA,35,3,17,7
Random,CPFA,35,4,20,3
Random,CPFA,35,5,26,6
Random,CPFA,35,6,29,3
Random,CPFA,35,7,35,6
Random,CPFA,35,8,37,2
Random,CPFA,35,9,45,8
Random,CPFA,35,10,52,7
Random,CPFA,35,11,62,10
Random,CPFA,35,12,66,4
Random,CPFA,36,1,9,9
Random,CPFA,36,2,16,7
Random,CPFA,36,3,18,2
Random,CPFA,36,4,27,9
Random,CPFA,36,5,36,9
Random,CPFA,36,6,41,5
Random,CPFA,36,7,46,5
Random,CPFA,36,8,50,4
Random,CPFA,36,9,54,4
Random,CPFA,36,10,59,5
Random,CPFA,36,11,62,3
Random,CPFA,36,12,63,1
Random,CPFA,37,1,8,8
Random,CPFA,37,2,11,3
Random,CPFA,37,3,16,5
Random,CPFA,37,4,17,1
Random,CPFA,37,5,21,4
Random,CPFA,37,6,27,6
Random,CPFA,37,7,31,4
Random,CPFA,37,8,37,6
Random,CPFA,37,9,40,3
Random,CPFA,37,10,45,5
Random,CPFA,37,11,50,5
Random,CPFA,37,12,54,4
Random,CPFA,38,1,8,8
Random,CPFA,38,2,10,2
Random,CPFA,38,3,15,5
Random,CPFA,38,4,21,6
Random,CPFA,38,5,29,8
Random,CPFA,38,6,34,5
Random,CPFA,38,7,38,4
Random,CPFA,38,8,42,4
Random,CPFA,38,9,45,3
Random,CPFA,38,10,51,6
Random,CPFA,38,11,53,2
Random,CPFA,38,12,63,10
Random,CPFA,39,1,9,9
Random,CPFA,39,2,15,6
Random,CPFA,39,3,21,6
Random,CPFA,39,4,27,6
Random,CPFA,39,5,29,2
Random,CPFA,39,6,34,5
Random,CPFA,39,7,44,10
Random,CPFA,39,8,46,2
Random,CPFA,39,9,53,7
Random,CPFA,39,10,61,8
Random,CPFA,39,11,66,5
Random,CPFA,39,12,71,5
Random,CPFA,40,1,8,8
Random,CPFA,40,2,17,9
Random,CPFA,40,3,21,4
Random,CPFA,40,4,24,3
Random,CPFA,40,5,28,4
Random,CPFA,40,6,30,2
Random,CPFA,40,7,34,4
Random,CPFA,40,8,40,6
Random,CPFA,40,9,44,4
Random,CPFA,40,10,49,5
Random,CPFA,40,11,52,3
Random,CPFA,40,12,56,4
Random,CPFA,41,1,9,9
Random,CPFA,41,2,13,4
Random,CPFA,41,3,19,6
Random,CPFA,41,4,22,3
Random,CPFA,41,5,27,5
Random,CPFA,41,6,32,5
Random,CPFA,41,7,37,5
Random,CPFA,41,8,47,10
Random,CPFA,41,9,52,5
Random,CPFA,41,10,61,9
Random,CPFA,41,11,67,6
Random,CPFA,41,12,73,6
Random,CPFA,42,1,7,7
Random,CPFA,42,2,12,5
Random,CPFA,42,3,20,8
Random,CPFA,42,4,24,4
Random,CPFA,42,5,29,5
Random,CPFA,42,6,35,6
Random,CPFA,42,7,40,5
Random,CPFA,42,8,45,5
Random,CPFA,42,9,53,8
Random,CPFA,42,10,58,5
Random,CPFA,42,11,65,7
Random,CPFA,42,12,65,0
Random,CPFA,43,1,8,8
Random,CPFA,43,2,12,4
Random,CPFA,43,3,15,3
Random,CPFA,43,4,19,4
Random,CPFA,43,5,23,4
Random,CPFA,43,6,27,4
Random,CPFA,43,7,31,4
Random,CPFA,43,8,36,5
Random,CPFA,43,9,41,5
Random,CPFA,43,10,46,5
Random,CPFA,43,11,51,5
Random,CPFA,43,12,56,5
Random,CPFA,44,1,10,10
Random,CPFA,44,2,17,7
Random,CPFA,44,3,23,6
Random,CPFA,44,4,28,5
Random,CPFA,44,5,30,2
Random,CPFA,44,6,34,4
Random,CPFA,44,7,37,3
Random,CPFA,44,8,42,5
Random,CPFA,44,9,47,5
Random,CPFA,44,10,55,8
Random,CPFA,44,11,61,6
Random,CPFA,44,12,67,6
Random,CPFA,45,1,9,9
Random,CPFA,45,2,14,5
Random,CPFA,45,3,21,7
Random,CPFA,45,4,26,5
Random,CPFA,45,5,32,6
Random,CPFA,45,6,37,5
Random,CPFA,45,7,43,6
Random,CPFA,45,8,45,2
Random,CPFA,45,9,50,5
Random,CPFA,45,10,56,6
Random,CPFA,45,11,60,4
Random,CPFA,45,12,66,6
Random,CPFA,46,1,9,9
Random,CPFA,46,2,18,9
Random,CPFA,46,3,26,8
Random,CPFA,46,4,30,4
Random,CPFA,46,5,38,8
Random,CPFA,46,6,42,4
Random,CPFA,46,7,47,5
Random,CPFA,46,8,49,2
Random,CPFA,46,9,53,4
Random,CPFA,46,10,56,3
Random,CPFA,46,11,60,4
Random,CPFA,46,12,67,7
Random,CPFA,47,1,9,9
Random,CPFA,47,2,17,8
Random,CPFA,47,3,28,11
Random,CPFA,47,4,37,9
Random,CPFA,47,5,42,5
Random,CPFA,47,6,45,3
Random,CPFA,47,7,46,1
Random,CPFA,47,8,52,6
Random,CPFA,47,9,57,5
Random,CPFA,47,10,66,9
Random,CPFA,47,11,69,3
Random,CPFA,47,12,73,4
Random,CPFA,48,1,10,10
Random,CPFA,48,2,17,7
Random,CPFA,48,3,22,5
Random,CPFA,48,4,31,9
Random,CPFA,48,5,32,1
Random,CPFA,48,6,35,3
Random,CPFA,48,7,39,4
Random,CPFA,48,8,43,4
Random,CPFA,48,9,47,4
Random,CPFA,48,10,53,6
Random,CPFA,48,11,60,7
Random,CPFA,48,12,67,7
Random,CPFA,49,1,4,4
Random,CPFA,49,2,10,6
Random,CPFA,49,3,14,4
Random,CPFA,49,4,18,4
Random,CPFA,49,5,20,2
Random,CPFA,49,6,24,4
Random,CPFA,49,7,28,4
Random,CPFA,49,8,32,4
Random,CPFA,49,9,37,5
Random,CPFA,49,10,42,5
Random,CPFA,49,11,46,4
Random,CPFA,49,12,50,4
Random,CPFA,50,1,7,7
Random,CPFA,50,2,13,6
Random,CPFA,50,3,16,3
Random,CPFA,50,4,20,4
Random,CPFA,50,5,29,9
Random,CPFA,50,6,32,3
Random,CPFA,50,7,41,9
Random,CPFA,50,8,49,8
Random,CPFA,50,9,54,5
Random,CPFA,50,10,58,4
Random,CPFA,50,11,63,5
Random,CPFA,50,12,65,2
Random,AHCFA,1,1,5,5
Random,AHCFA,1,2,11,6
Random,AHCFA,1,3,17,6
Random,AHCFA,1,4,21,4
Random,AHCFA,1,5,25,4
Random,AHCFA,1,6,31,6
Random,AHCFA,1,7,37,6
Random,AHCFA,1,8,44,7
Random,AHCFA,1,9,49,5
Random,AHCFA,1,10,59,10
Random,AHCFA,1,11,69,10
Random,AHCFA,1,12,77,8
Random,AHCFA,2,1,8,8
Random,AHCFA,2,2,13,5
Random,AHCFA,2,3,22,9
Random,AHCFA,2,4,28,6
Random,AHCFA,2,5,30,2
Random,AHCFA,2,6,37,7
Random,AHCFA,2,7,46,9
Random,AHCFA,2,8,54,8
Random,AHCFA,2,9,60,6
Random,AHCFA,2,10,69,9
Random,AHCFA,2,11,76,7
Random,AHCFA,2,12,81,5
Random,AHCFA,3,1,8,8
Random,AHCFA,3,2,18,10
Random,AHCFA,3,3,23,5
Random,AHCFA,3,4,31,8
Random,AHCFA,3,5,38,7
Random,AHCFA,3,6,41,3
